title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"1984 Michigan Ballot Proposal &#39;C&#39;","","","","1984","","","","","","","","","","","","","","application/pdf","","","104461","cdm104461","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104461","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104461.pdf","https://temoshee.github.io/ballotproposals/items/cdm104461.html"
"1986 Michigan Ballot Proposal &#39;A&#39;","","","","1986","","","","","","","","","","","","","","application/pdf","","","104473","cdm104473","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104473","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104473.pdf","https://temoshee.github.io/ballotproposals/items/cdm104473.html"
"1986 Michigan Ballot Proposal &#39;B&#39;","","","","1986","","","","","","","","","","","","","","application/pdf","","","104474","cdm104474","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104474","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104474.pdf","https://temoshee.github.io/ballotproposals/items/cdm104474.html"
"1986 Michigan Ballot Proposal &#39;C&#39;","","","","1986","","","","","","","","","","","","","","application/pdf","","","104475","cdm104475","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104475","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104475.pdf","https://temoshee.github.io/ballotproposals/items/cdm104475.html"
"1988 Michigan Ballot Proposal &#39;A&#39;","","","","1988","","","","","","","","","","","","","","application/pdf","","","104480","cdm104480","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104480","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104480.pdf","https://temoshee.github.io/ballotproposals/items/cdm104480.html"
"1988 Michigan Ballot Proposal &#39;B&#39;","","","","1988","","","","","","","","","","","","","","application/pdf","","","104481","cdm104481","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104481","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104481.pdf","https://temoshee.github.io/ballotproposals/items/cdm104481.html"
"1988 Michigan Ballot Proposal &#39;C&#39;","","","","1988","","","","","","","","","","","","","","application/pdf","","","104482","cdm104482","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104482","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104482.pdf","https://temoshee.github.io/ballotproposals/items/cdm104482.html"
"1988 Michigan Ballot Proposal &#39;D&#39;","","","","1988","","","","","","","","","","","","","","application/pdf","","","104483","cdm104483","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104483","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104483.pdf","https://temoshee.github.io/ballotproposals/items/cdm104483.html"
"1989 Michigan Ballot Proposal &#39;A&#39;","","","","1989","","","","","","","","","","","","","","application/pdf","","","104477","cdm104477","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104477","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104477.pdf","https://temoshee.github.io/ballotproposals/items/cdm104477.html"
"1989 Michigan Ballot Proposal &#39;B&#39;","","","","1989","","","","","","","","","","","","","","application/pdf","","","104478","cdm104478","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104478","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104478.pdf","https://temoshee.github.io/ballotproposals/items/cdm104478.html"
"1992 Michigan Ballot Proposal &#39;A&#39;","","","","1992","","","","","","","","","","","","","","application/pdf","","","104489","cdm104489","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104489","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104489.pdf","https://temoshee.github.io/ballotproposals/items/cdm104489.html"
"1992 Michigan Ballot Proposal &#39;B&#39;","","","","1992","","","","","","","","","","","","","","application/pdf","","","104486","cdm104486","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104486","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104486.pdf","https://temoshee.github.io/ballotproposals/items/cdm104486.html"
"1992 Michigan Ballot Proposal &#39;C&#39;","","","","1992","","","","","","","","","","","","","","application/pdf","","","104487","cdm104487","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104487","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104487.pdf","https://temoshee.github.io/ballotproposals/items/cdm104487.html"
"1992 Michigan Ballot Proposal &#39;D&#39;","","","","1992","","","","","","","","","","","","","","application/pdf","","","104488","cdm104488","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104488","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104488.pdf","https://temoshee.github.io/ballotproposals/items/cdm104488.html"
"1993 Michigan Ballot Proposal &#39;A&#39;","","","","1992","","","","","","","","","","","","","","application/pdf","","","104557","cdm104557","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104557","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104557.pdf","https://temoshee.github.io/ballotproposals/items/cdm104557.html"
"1994 (March) Michigan Ballot Proposal &#39;A&#39;","","","","1994-03","","","","","","","","","","","","","","application/pdf","","","138411","cdm138411","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/138411","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/138411.pdf","https://temoshee.github.io/ballotproposals/items/cdm138411.html"
"1994 (November) Michigan Ballot Proposal &#39;A&#39;","","","","1994-11","","","","","","","","","","","","","","application/pdf","","","138412","cdm138412","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/138412","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/138412.pdf","https://temoshee.github.io/ballotproposals/items/cdm138412.html"

